Trial,Algorithm,SNR_dB,BPM,Peaks,Time_ms
1,Moving Average,1.84,91.9,43,1.73
1,Butterworth,-7.53,91.8,42,12.85
1,Butterworth+Notch,-7.55,91.8,42,1.81
2,Moving Average,1.73,93.5,43,0.0
2,Butterworth,-8.05,91.8,43,2.22
2,Butterworth+Notch,-8.07,91.8,43,1.74
3,Moving Average,0.92,89.5,42,0.0
3,Butterworth,-11.62,89.5,42,3.8
3,Butterworth+Notch,-11.64,89.5,42,3.56
4,Moving Average,1.93,93.1,43,0.0
4,Butterworth,-6.98,91.5,43,0.0
4,Butterworth+Notch,-6.99,91.5,43,1.69
5,Moving Average,-3.28,72.1,34,1.74
5,Butterworth,-16.52,36.1,17,3.13
5,Butterworth+Notch,-16.53,33.9,16,1.77
